Timestamp,Data,Atraso(ms)
1751895677,2025-07-07 10:41:17,22.34
1751895739,2025-07-07 10:42:19,22.81
1751895800,2025-07-07 10:43:20,22.39
1751895861,2025-07-07 10:44:21,22.43
1751895919,2025-07-07 10:45:19,25.19
1751895977,2025-07-07 10:46:17,26.25
1751896040,2025-07-07 10:47:20,21.23
1751896103,2025-07-07 10:48:23,20.93
1751896161,2025-07-07 10:49:21,21.04
1751896218,2025-07-07 10:50:18,20.81
1751896276,2025-07-07 10:51:16,22.77
1751896333,2025-07-07 10:52:13,27.98
1751896393,2025-07-07 10:53:13,23.97
1751896456,2025-07-07 10:54:16,24.39
1751896518,2025-07-07 10:55:18,24.22
1751896575,2025-07-07 10:56:15,24.68
1751896636,2025-07-07 10:57:16,23.66
1751896698,2025-07-07 10:58:18,24.43
1751896755,2025-07-07 10:59:15,23.44
1751896813,2025-07-07 11:00:13,24.27
1751896871,2025-07-07 11:01:11,24.02
1751896930,2025-07-07 11:02:10,23.37
1751896987,2025-07-07 11:03:07,23.51
1751897053,2025-07-07 11:04:13,23.34
1751897116,2025-07-07 11:05:16,23.91
1751897177,2025-07-07 11:06:17,23.75
1751897231,2025-07-07 11:07:11,23.63
1751897292,2025-07-07 11:08:12,23.68
1751897354,2025-07-07 11:09:14,23.41
1751897416,2025-07-07 11:10:16,23.62
1751897475,2025-07-07 11:11:15,24.17
1751897538,2025-07-07 11:12:18,23.77
1751897600,2025-07-07 11:13:20,24.02
1751897661,2025-07-07 11:14:21,24.56
1751897722,2025-07-07 11:15:22,23.98
