Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1749857606,2025-06-13 20:33:26,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749857606,2025-06-13 20:33:26,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749857606,2025-06-13 20:33:26,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749857606,2025-06-13 20:33:26,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749857606,2025-06-13 20:33:26,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749857606,2025-06-13 20:33:26,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749857606,2025-06-13 20:33:26,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749858429,2025-06-13 20:47:09,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749858429,2025-06-13 20:47:09,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749858429,2025-06-13 20:47:09,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749858429,2025-06-13 20:47:09,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749858429,2025-06-13 20:47:09,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749858429,2025-06-13 20:47:09,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749858429,2025-06-13 20:47:09,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749859204,2025-06-13 21:00:04,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749859204,2025-06-13 21:00:04,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749859204,2025-06-13 21:00:04,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749859204,2025-06-13 21:00:04,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749859204,2025-06-13 21:00:04,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749859204,2025-06-13 21:00:04,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749859204,2025-06-13 21:00:04,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749859577,2025-06-13 21:06:17,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749859577,2025-06-13 21:06:17,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749859577,2025-06-13 21:06:17,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749859577,2025-06-13 21:06:17,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749859577,2025-06-13 21:06:17,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749859577,2025-06-13 21:06:17,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749859577,2025-06-13 21:06:17,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749860148,2025-06-13 21:15:48,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749860148,2025-06-13 21:15:48,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749860148,2025-06-13 21:15:48,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749860148,2025-06-13 21:15:48,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749860148,2025-06-13 21:15:48,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749860148,2025-06-13 21:15:48,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749860148,2025-06-13 21:15:48,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749861083,2025-06-13 21:31:23,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749861083,2025-06-13 21:31:23,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749861083,2025-06-13 21:31:23,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749861083,2025-06-13 21:31:23,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749861083,2025-06-13 21:31:23,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749861083,2025-06-13 21:31:23,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749861083,2025-06-13 21:31:23,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749861671,2025-06-13 21:41:11,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749861671,2025-06-13 21:41:11,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749861671,2025-06-13 21:41:11,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749861671,2025-06-13 21:41:11,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749861671,2025-06-13 21:41:11,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749861671,2025-06-13 21:41:11,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749861671,2025-06-13 21:41:11,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749862620,2025-06-13 21:57:00,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749862620,2025-06-13 21:57:00,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749862620,2025-06-13 21:57:00,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749862620,2025-06-13 21:57:00,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749862620,2025-06-13 21:57:00,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749862620,2025-06-13 21:57:00,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749862620,2025-06-13 21:57:00,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749863284,2025-06-13 22:08:04,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749863284,2025-06-13 22:08:04,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749863284,2025-06-13 22:08:04,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749863284,2025-06-13 22:08:04,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749863284,2025-06-13 22:08:04,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749863284,2025-06-13 22:08:04,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749863284,2025-06-13 22:08:04,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749863938,2025-06-13 22:18:58,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749863938,2025-06-13 22:18:58,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749863938,2025-06-13 22:18:58,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749863938,2025-06-13 22:18:58,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749863938,2025-06-13 22:18:58,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749863938,2025-06-13 22:18:58,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749863938,2025-06-13 22:18:58,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749864694,2025-06-13 22:31:34,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749864694,2025-06-13 22:31:34,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749864694,2025-06-13 22:31:34,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749864694,2025-06-13 22:31:34,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749864694,2025-06-13 22:31:34,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749864694,2025-06-13 22:31:34,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749864694,2025-06-13 22:31:34,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749865010,2025-06-13 22:36:50,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749865010,2025-06-13 22:36:50,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749865010,2025-06-13 22:36:50,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749865010,2025-06-13 22:36:50,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749865010,2025-06-13 22:36:50,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749865010,2025-06-13 22:36:50,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749865010,2025-06-13 22:36:50,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749865770,2025-06-13 22:49:30,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749865770,2025-06-13 22:49:30,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749865770,2025-06-13 22:49:30,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749865770,2025-06-13 22:49:30,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749865770,2025-06-13 22:49:30,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749865770,2025-06-13 22:49:30,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749865770,2025-06-13 22:49:30,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749866114,2025-06-13 22:55:14,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749866114,2025-06-13 22:55:14,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749866114,2025-06-13 22:55:14,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749866114,2025-06-13 22:55:14,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749866114,2025-06-13 22:55:14,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749866114,2025-06-13 22:55:14,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749866114,2025-06-13 22:55:14,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749866645,2025-06-13 23:04:05,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749866645,2025-06-13 23:04:05,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749866645,2025-06-13 23:04:05,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749866645,2025-06-13 23:04:05,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749866645,2025-06-13 23:04:05,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749866645,2025-06-13 23:04:05,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749866645,2025-06-13 23:04:05,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749867698,2025-06-13 23:21:38,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749867698,2025-06-13 23:21:38,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749867698,2025-06-13 23:21:38,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749867698,2025-06-13 23:21:38,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749867698,2025-06-13 23:21:38,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749867698,2025-06-13 23:21:38,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749867698,2025-06-13 23:21:38,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749868222,2025-06-13 23:30:22,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749868222,2025-06-13 23:30:22,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749868222,2025-06-13 23:30:22,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749868222,2025-06-13 23:30:22,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749868222,2025-06-13 23:30:22,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749868222,2025-06-13 23:30:22,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749868222,2025-06-13 23:30:22,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749868879,2025-06-13 23:41:19,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749868879,2025-06-13 23:41:19,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749868879,2025-06-13 23:41:19,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749868879,2025-06-13 23:41:19,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749868879,2025-06-13 23:41:19,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749868879,2025-06-13 23:41:19,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749868879,2025-06-13 23:41:19,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749869052,2025-06-13 23:44:12,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749869052,2025-06-13 23:44:12,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749869052,2025-06-13 23:44:12,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749869052,2025-06-13 23:44:12,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749869052,2025-06-13 23:44:12,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749869052,2025-06-13 23:44:12,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749869052,2025-06-13 23:44:12,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749869784,2025-06-13 23:56:24,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749869784,2025-06-13 23:56:24,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749869784,2025-06-13 23:56:24,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749869784,2025-06-13 23:56:24,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749869784,2025-06-13 23:56:24,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749869784,2025-06-13 23:56:24,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749869784,2025-06-13 23:56:24,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749870568,2025-06-14 00:09:28,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749870568,2025-06-14 00:09:28,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749870568,2025-06-14 00:09:28,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749870568,2025-06-14 00:09:28,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749870568,2025-06-14 00:09:28,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749870568,2025-06-14 00:09:28,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749870568,2025-06-14 00:09:28,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749871036,2025-06-14 00:17:16,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749871036,2025-06-14 00:17:16,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749871036,2025-06-14 00:17:16,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749871036,2025-06-14 00:17:16,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749871036,2025-06-14 00:17:16,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749871036,2025-06-14 00:17:16,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749871036,2025-06-14 00:17:16,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749871916,2025-06-14 00:31:56,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749871916,2025-06-14 00:31:56,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749871916,2025-06-14 00:31:56,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749871916,2025-06-14 00:31:56,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749871916,2025-06-14 00:31:56,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749871916,2025-06-14 00:31:56,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749871916,2025-06-14 00:31:56,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749872162,2025-06-14 00:36:02,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749872162,2025-06-14 00:36:02,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749872162,2025-06-14 00:36:02,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749872162,2025-06-14 00:36:02,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749872162,2025-06-14 00:36:02,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749872162,2025-06-14 00:36:02,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749872162,2025-06-14 00:36:02,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749873073,2025-06-14 00:51:13,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749873073,2025-06-14 00:51:13,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749873073,2025-06-14 00:51:13,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749873073,2025-06-14 00:51:13,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749873073,2025-06-14 00:51:13,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749873073,2025-06-14 00:51:13,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749873073,2025-06-14 00:51:13,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749873444,2025-06-14 00:57:24,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749873444,2025-06-14 00:57:24,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749873444,2025-06-14 00:57:24,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749873444,2025-06-14 00:57:24,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749873444,2025-06-14 00:57:24,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749873444,2025-06-14 00:57:24,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749873444,2025-06-14 00:57:24,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749874316,2025-06-14 01:11:56,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749874316,2025-06-14 01:11:56,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749874316,2025-06-14 01:11:56,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749874316,2025-06-14 01:11:56,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749874316,2025-06-14 01:11:56,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749874316,2025-06-14 01:11:56,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749874316,2025-06-14 01:11:56,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749874806,2025-06-14 01:20:06,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749874806,2025-06-14 01:20:06,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749874806,2025-06-14 01:20:06,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1749874806,2025-06-14 01:20:06,4,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1749874806,2025-06-14 01:20:06,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1749874806,2025-06-14 01:20:06,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1749874806,2025-06-14 01:20:06,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1749875138,2025-06-14 01:25:38,1,200.18.160.11,go-pop-br-rt-datacenter,200.137.224.229,go-pop-br-rt-dc-1
1749875138,2025-06-14 01:25:38,2,200.137.224.229,go-pop-br-rt-dc-1,200.143.255.221,go-lango.bkb.rnp.br
1749875138,2025-06-14 01:25:38,3,200.143.255.221,go-lango.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
