Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1742996107,2025-03-26 10:35:07,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1742996107,2025-03-26 10:35:07,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1742996107,2025-03-26 10:35:07,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1742996107,2025-03-26 10:35:07,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1742996107,2025-03-26 10:35:07,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1742996107,2025-03-26 10:35:07,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1742996107,2025-03-26 10:35:07,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1742996955,2025-03-26 10:49:15,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1742996955,2025-03-26 10:49:15,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1742996955,2025-03-26 10:49:15,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1742996955,2025-03-26 10:49:15,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1742996955,2025-03-26 10:49:15,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1742996955,2025-03-26 10:49:15,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1742996955,2025-03-26 10:49:15,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1742997755,2025-03-26 11:02:35,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1742997755,2025-03-26 11:02:35,2,170.79.214.36,crs1-brs1.bkb.rnp.br,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,3,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,4,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,5,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,6,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,7,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,8,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,9,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,10,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,11,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,12,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,13,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,14,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,15,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,16,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,17,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,18,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,19,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,20,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,21,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,22,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,23,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,24,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,25,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,26,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,27,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,28,No-IP,No-Hostname,No-IP,No-Hostname
1742997755,2025-03-26 11:02:35,29,No-IP,No-Hostname,No-IP,No-Hostname
1742998291,2025-03-26 11:11:31,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1742998291,2025-03-26 11:11:31,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1742998291,2025-03-26 11:11:31,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1742998291,2025-03-26 11:11:31,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1742998291,2025-03-26 11:11:31,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1742998291,2025-03-26 11:11:31,6,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1742998291,2025-03-26 11:11:31,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1742998291,2025-03-26 11:11:31,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1742999340,2025-03-26 11:29:00,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1742999340,2025-03-26 11:29:00,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1742999340,2025-03-26 11:29:00,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.234,cpr1-cpr2-100g.bkb.rnp.br
1742999340,2025-03-26 11:29:00,4,170.79.213.234,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1742999340,2025-03-26 11:29:00,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1742999340,2025-03-26 11:29:00,6,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1742999340,2025-03-26 11:29:00,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1742999340,2025-03-26 11:29:00,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1742999857,2025-03-26 11:37:37,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1742999857,2025-03-26 11:37:37,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1742999857,2025-03-26 11:37:37,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.234,cpr1-cpr2-100g.bkb.rnp.br
1742999857,2025-03-26 11:37:37,4,170.79.213.234,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1742999857,2025-03-26 11:37:37,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1742999857,2025-03-26 11:37:37,6,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1742999857,2025-03-26 11:37:37,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1742999857,2025-03-26 11:37:37,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743000567,2025-03-26 11:49:27,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743000567,2025-03-26 11:49:27,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1743000567,2025-03-26 11:49:27,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.234,cpr1-cpr2-100g.bkb.rnp.br
1743000567,2025-03-26 11:49:27,4,170.79.213.234,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743000567,2025-03-26 11:49:27,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743000567,2025-03-26 11:49:27,6,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743000567,2025-03-26 11:49:27,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743000567,2025-03-26 11:49:27,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743001290,2025-03-26 12:01:30,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743001290,2025-03-26 12:01:30,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743001290,2025-03-26 12:01:30,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743001290,2025-03-26 12:01:30,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743001290,2025-03-26 12:01:30,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743001290,2025-03-26 12:01:30,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743001290,2025-03-26 12:01:30,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743002203,2025-03-26 12:16:43,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743002203,2025-03-26 12:16:43,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743002203,2025-03-26 12:16:43,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743002203,2025-03-26 12:16:43,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743002203,2025-03-26 12:16:43,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743002203,2025-03-26 12:16:43,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743002203,2025-03-26 12:16:43,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743002910,2025-03-26 12:28:30,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743002910,2025-03-26 12:28:30,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743002910,2025-03-26 12:28:30,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743002910,2025-03-26 12:28:30,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743002910,2025-03-26 12:28:30,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743002910,2025-03-26 12:28:30,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743002910,2025-03-26 12:28:30,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743003413,2025-03-26 12:36:53,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743003413,2025-03-26 12:36:53,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743003413,2025-03-26 12:36:53,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743003413,2025-03-26 12:36:53,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743003413,2025-03-26 12:36:53,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743003413,2025-03-26 12:36:53,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743003413,2025-03-26 12:36:53,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743003975,2025-03-26 12:46:15,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743003975,2025-03-26 12:46:15,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743003975,2025-03-26 12:46:15,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743003975,2025-03-26 12:46:15,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743003975,2025-03-26 12:46:15,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743003975,2025-03-26 12:46:15,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743003975,2025-03-26 12:46:15,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743004756,2025-03-26 12:59:16,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743004756,2025-03-26 12:59:16,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743004756,2025-03-26 12:59:16,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743004756,2025-03-26 12:59:16,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743004756,2025-03-26 12:59:16,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743004756,2025-03-26 12:59:16,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743004756,2025-03-26 12:59:16,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743005155,2025-03-26 13:05:55,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743005155,2025-03-26 13:05:55,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743005155,2025-03-26 13:05:55,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743005155,2025-03-26 13:05:55,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743005155,2025-03-26 13:05:55,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743005155,2025-03-26 13:05:55,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743005155,2025-03-26 13:05:55,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743006056,2025-03-26 13:20:56,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743006056,2025-03-26 13:20:56,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743006056,2025-03-26 13:20:56,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743006056,2025-03-26 13:20:56,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743006056,2025-03-26 13:20:56,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743006056,2025-03-26 13:20:56,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743006056,2025-03-26 13:20:56,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743006409,2025-03-26 13:26:49,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743006409,2025-03-26 13:26:49,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743006409,2025-03-26 13:26:49,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743006409,2025-03-26 13:26:49,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743006409,2025-03-26 13:26:49,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743006409,2025-03-26 13:26:49,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743006409,2025-03-26 13:26:49,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743007231,2025-03-26 13:40:31,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743007231,2025-03-26 13:40:31,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743007231,2025-03-26 13:40:31,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743007231,2025-03-26 13:40:31,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743007231,2025-03-26 13:40:31,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743007231,2025-03-26 13:40:31,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743007231,2025-03-26 13:40:31,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743007747,2025-03-26 13:49:07,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743007747,2025-03-26 13:49:07,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743007747,2025-03-26 13:49:07,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743007747,2025-03-26 13:49:07,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743007747,2025-03-26 13:49:07,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743007747,2025-03-26 13:49:07,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743007747,2025-03-26 13:49:07,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743008192,2025-03-26 13:56:32,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743008192,2025-03-26 13:56:32,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743008192,2025-03-26 13:56:32,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743008192,2025-03-26 13:56:32,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743008192,2025-03-26 13:56:32,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743008192,2025-03-26 13:56:32,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743008192,2025-03-26 13:56:32,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743009055,2025-03-26 14:10:55,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743009055,2025-03-26 14:10:55,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743009055,2025-03-26 14:10:55,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743009055,2025-03-26 14:10:55,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743009055,2025-03-26 14:10:55,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743009055,2025-03-26 14:10:55,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743009055,2025-03-26 14:10:55,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743009824,2025-03-26 14:23:44,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743009824,2025-03-26 14:23:44,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743009824,2025-03-26 14:23:44,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743009824,2025-03-26 14:23:44,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743009824,2025-03-26 14:23:44,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743009824,2025-03-26 14:23:44,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743009824,2025-03-26 14:23:44,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743009974,2025-03-26 14:26:14,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743009974,2025-03-26 14:26:14,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743009974,2025-03-26 14:26:14,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743009974,2025-03-26 14:26:14,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743009974,2025-03-26 14:26:14,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743009974,2025-03-26 14:26:14,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743009974,2025-03-26 14:26:14,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743010964,2025-03-26 14:42:44,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743010964,2025-03-26 14:42:44,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743010964,2025-03-26 14:42:44,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743010964,2025-03-26 14:42:44,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743010964,2025-03-26 14:42:44,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743010964,2025-03-26 14:42:44,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743010964,2025-03-26 14:42:44,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743011334,2025-03-26 14:48:54,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743011334,2025-03-26 14:48:54,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743011334,2025-03-26 14:48:54,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743011334,2025-03-26 14:48:54,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743011334,2025-03-26 14:48:54,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743011334,2025-03-26 14:48:54,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743011334,2025-03-26 14:48:54,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743012028,2025-03-26 15:00:28,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1743012028,2025-03-26 15:00:28,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1743012028,2025-03-26 15:00:28,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1743012028,2025-03-26 15:00:28,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1743012028,2025-03-26 15:00:28,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743012028,2025-03-26 15:00:28,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
