Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752166038,2025-07-10 13:47:18,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752166038,2025-07-10 13:47:18,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752166038,2025-07-10 13:47:18,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752166038,2025-07-10 13:47:18,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752166038,2025-07-10 13:47:18,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752166038,2025-07-10 13:47:18,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752166753,2025-07-10 13:59:13,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752166753,2025-07-10 13:59:13,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752166753,2025-07-10 13:59:13,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752166753,2025-07-10 13:59:13,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752166753,2025-07-10 13:59:13,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752166753,2025-07-10 13:59:13,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752167431,2025-07-10 14:10:31,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752167431,2025-07-10 14:10:31,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752167431,2025-07-10 14:10:31,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752167431,2025-07-10 14:10:31,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752167431,2025-07-10 14:10:31,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752167431,2025-07-10 14:10:31,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752167818,2025-07-10 14:16:58,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752167818,2025-07-10 14:16:58,2,170.79.213.124,cce1-bce1.bkb.rnp.br,No-IP,No-Hostname
1752167818,2025-07-10 14:16:58,3,No-IP,No-Hostname,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752167818,2025-07-10 14:16:58,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752167818,2025-07-10 14:16:58,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752167818,2025-07-10 14:16:58,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752168440,2025-07-10 14:27:20,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752168440,2025-07-10 14:27:20,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752168440,2025-07-10 14:27:20,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752168440,2025-07-10 14:27:20,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752168440,2025-07-10 14:27:20,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752168440,2025-07-10 14:27:20,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752169881,2025-07-10 14:51:21,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752169881,2025-07-10 14:51:21,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752169881,2025-07-10 14:51:21,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752169881,2025-07-10 14:51:21,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752169881,2025-07-10 14:51:21,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752169881,2025-07-10 14:51:21,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752170106,2025-07-10 14:55:06,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752170106,2025-07-10 14:55:06,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752170106,2025-07-10 14:55:06,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752170106,2025-07-10 14:55:06,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752170106,2025-07-10 14:55:06,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752170106,2025-07-10 14:55:06,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752170580,2025-07-10 15:03:00,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752170580,2025-07-10 15:03:00,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752170580,2025-07-10 15:03:00,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752170580,2025-07-10 15:03:00,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752170580,2025-07-10 15:03:00,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752170580,2025-07-10 15:03:00,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752171419,2025-07-10 15:16:59,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752171419,2025-07-10 15:16:59,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752171419,2025-07-10 15:16:59,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752171419,2025-07-10 15:16:59,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752171419,2025-07-10 15:16:59,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752171419,2025-07-10 15:16:59,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752172855,2025-07-10 15:40:55,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752172855,2025-07-10 15:40:55,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752172855,2025-07-10 15:40:55,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752172855,2025-07-10 15:40:55,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752172855,2025-07-10 15:40:55,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752172855,2025-07-10 15:40:55,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752173713,2025-07-10 15:55:13,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752173713,2025-07-10 15:55:13,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752173713,2025-07-10 15:55:13,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752173713,2025-07-10 15:55:13,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752173713,2025-07-10 15:55:13,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752173713,2025-07-10 15:55:13,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752174563,2025-07-10 16:09:23,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752174563,2025-07-10 16:09:23,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752174563,2025-07-10 16:09:23,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752174563,2025-07-10 16:09:23,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752174563,2025-07-10 16:09:23,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752174563,2025-07-10 16:09:23,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752174980,2025-07-10 16:16:20,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752174980,2025-07-10 16:16:20,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752174980,2025-07-10 16:16:20,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752174980,2025-07-10 16:16:20,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752174980,2025-07-10 16:16:20,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752174980,2025-07-10 16:16:20,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752175793,2025-07-10 16:29:53,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752175793,2025-07-10 16:29:53,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752175793,2025-07-10 16:29:53,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752175793,2025-07-10 16:29:53,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752175793,2025-07-10 16:29:53,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752175793,2025-07-10 16:29:53,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752176722,2025-07-10 16:45:22,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752176722,2025-07-10 16:45:22,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752176722,2025-07-10 16:45:22,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752176722,2025-07-10 16:45:22,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752176722,2025-07-10 16:45:22,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752176722,2025-07-10 16:45:22,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752177476,2025-07-10 16:57:56,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752177476,2025-07-10 16:57:56,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752177476,2025-07-10 16:57:56,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752177476,2025-07-10 16:57:56,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752177476,2025-07-10 16:57:56,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752177476,2025-07-10 16:57:56,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752178040,2025-07-10 17:07:20,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752178040,2025-07-10 17:07:20,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752178040,2025-07-10 17:07:20,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752178040,2025-07-10 17:07:20,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752178040,2025-07-10 17:07:20,5,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752178040,2025-07-10 17:07:20,6,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752178699,2025-07-10 17:18:19,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1752178699,2025-07-10 17:18:19,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1752178699,2025-07-10 17:18:19,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
